advertiser_id,vvs_base,vvs_post,convs_base,convs_post,spend_base,spend_post,ov_base,ov_post,conv_rate_base,conv_rate_post,delta_conv_rate_rel,roas_base,roas_post,delta_roas_rel,aov_base,aov_post,delta_aov_rel,pp_share_base,pp_share_post,delta_pp_share,is_pp_new_adopter,is_pp_continuing,is_non_adopter
42796,30709,5486,82,46,288.87509,46.97585,6071.4,4429.2,0.0026702269692923898,0.008384979948960992,2.1401749908858916,21.017388519,94.286745211,3.486130383,74.041463415,96.286956522,0.300446427,0.0,0.0,0.0,false,false,true
40712,687542,212653,65,19,6492.841868,1831.994472,0,0,9.453967903051741E-5,8.934743455300419E-5,-0.05492132542397532,0,0,,0,0,,0.0,0.0,0.0,false,false,true
42333,31020,5372,0,0,289.092713,47.722932,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
34593,767720,91595,4039,1246,7607.989594,800.459427,0,0,0.005261032668160266,0.013603362628964463,1.585682980319039,0,0,,0,0,,0.0,0.0,0.0,false,false,true
45295,668278,669979,35,34,6318.387778,5890.540491,0,0,5.237341345966798E-5,5.0747859261260425E-5,-0.031037774531525786,0,0,,0,0,,0.0,0.0,0.0,false,false,true
46411,2835009,2473668,344,1102,27597.136072,22887.881193,43996.07,126922.65,1.2134000280069658E-4,4.4549228109835273E-4,2.671437867280116,1.594225933,5.54540846,2.478433229,127.895552326,115.174818512,-0.099461894,0.0,0.0,0.0,false,false,true
42055,122106,20000,156,55,1157.159607,188.877489,0,0,0.0012775784973711366,0.00275,1.152509615384615,0,0,,0,0,,0.0,0.0,0.0,false,false,true
44039,76762,12696,21,16,718.766533,116.26759,0,0,2.7357286157213203E-4,0.001260239445494644,3.6065952530980887,0,0,,0,0,,0.0,0.0,0.0,false,false,true
46056,30851,5543,0,0,289.256187,47.245894,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39658,157458,27295,10,2,1479.770385,251.925636,0,0,6.350899922519021E-5,7.327349331379373E-5,0.15374977102033327,0,0,,0,0,,0.0,0.0,0.0,false,false,true
46984,36467,12752,0,0,319.135822,117.294266,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
34339,10913854,5647134,225,122,80048.022641,33284.929625,91968.18,61890.59,2.061599871136264E-5,2.1603879065026615E-5,0.04791814199714217,1.148912577,1.859417781,0.618415377,408.747466667,507.299918033,0.241108409,0.0,0.0,0.0,false,false,true
32352,9599867,3211615,2255,2043,75956.451793,22465.808403,144858,123953.58,2.3489908766444369E-4,6.36128552145883E-4,1.7080929026621026,1.9071191,5.517432437,1.893071774,64.238580931,60.672334802,-0.055515643,0.0,0.0,0.0,false,false,true
40046,44490,8919,1,0,320.947857,47.759068,0,0,2.247696111485727E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
32636,9184085,12753564,536,954,41427.373156,45767.000012,530802.56,794762.83,5.836182918603214E-5,7.480261987943135E-5,0.28170451342423,12.812846183,17.365412411,0.355312642,990.303283582,833.084727463,-0.158757987,0.0,0.0,0.0,false,false,true
39521,237161,980865,148,1527,1641.413867,5295.754348,29706.8,310403.9,6.240486420617218E-4,0.0015567891605878484,1.4946599602309103,18.098299641,58.613727073,2.238631708,200.721621622,203.276948265,0.012730699,0.0,0.0,0.0,false,false,true
39542,985326,6366030,4163,1206,9888.236824,59065.805693,0,0,0.0042249976150025475,1.8944302807244074E-4,-0.9551613881627419,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38670,328154,26069,14,3,3068.228669,228.79464,0,0,4.266289607927985E-5,1.1507921285818406E-4,1.6974074297331807,0,0,,0,0,,0.0,0.0,0.0,false,false,true
43781,61594,9975,0,0,569.152302,92.729401,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
38533,477226,80200,164,119,4308.066178,729.687087,23752.48,13250.2,3.436526928541194E-4,0.001483790523690773,3.317703758895445,5.513490048,18.158742612,2.293511452,144.832195122,111.346218487,-0.231205338,0.0,0.0,0.0,false,false,true
42564,67550,24557,0,0,637.764267,228.346648,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
43054,273769,47322,9,17,2613.557161,428.648943,0,0,3.287443063312501E-5,3.5924094501500357E-4,9.92767047509028,0,0,,0,0,,0.0,0.0,0.0,false,false,true
40605,281450,163427,8,3,2753.770727,1502.547512,0,0,2.842423165748801E-5,1.835681986452667E-5,-0.35418413114112113,0,0,,0,0,,0.0,0.0,0.0,false,false,true
31960,2310315,2139779,344,881,17417.765454,18014.422287,31920.84,115421.25,1.4889744472074154E-4,4.1172476223011814E-4,1.7651566687548703,1.832659883,6.407158007,2.496097703,92.793139535,131.011634506,0.411867679,0.0,0.0,0.0,false,false,true
45744,310523,60142,10,6,2918.320238,553.54534,0,0,3.220373370088528E-5,9.976389212197799E-5,2.097898307339297,0,0,,0,0,,0.0,0.0,0.0,false,false,true
44623,27095,7533,0,0,242.159849,45.700156,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40009,38700,4085,0,0,273.084363,22.83156,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
37479,404146,111187,15775,11277,3730.019346,1027.697388,1303575.49,965066.55,0.039032923745379144,0.10142372759405326,1.5984148216942153,349.482232954,939.057120577,1.686995309,82.635530269,85.5783054,0.035611499,0.0,0.0,0.0,false,false,true
42068,562875,105375,0,11,5105.076745,954.488538,0,0,0.0,1.0438908659549228E-4,,0,0,,,0,,0.0,0.0,0.0,false,false,true
34540,362817,184313,56,33,2784.466185,958.288347,0,0,1.5434778414462387E-4,1.7904325793622805E-4,0.15999888776157944,0,0,,0,0,,0.0,0.0,0.0,false,false,true
37676,1346880,131594,420,1591,9977.644693,824.301903,0,0,3.1183178902352104E-4,0.012090216879189021,37.771598357719306,0,0,,0,0,,0.0,0.0,0.0,false,false,true
46188,157472,92139,7,0,1541.546361,783.759054,0,0,4.4452347083926033E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
41079,27255,7864,0,0,214.698825,40.569078,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40422,93481,94832,2,0,809.196095,799.981607,0,0,2.1394721922101816E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
39988,35038,8055,0,0,268.426596,47.540934,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
36322,4391084,1547188,12534,7374,27010.227348,7271.188689,2121460.5,1282522.5,0.0028544204574542415,0.004766065920883565,0.6697140424554879,78.542859809,176.384158747,1.245705837,169.256462422,173.924938975,0.027582265,0.0,0.0,0.0,false,false,true
42703,221125,58809,12,49,2083.336866,540.477319,4806.12,8090.21,5.426794799321651E-5,8.332058018330528E-4,14.353552744194484,2.306933688,14.96863923,5.488543346,400.51,165.106326531,-0.58775979,0.0,0.0,0.0,false,false,true
45786,246077,131313,41,18,2329.857272,1187.209972,0,0,1.6661451496889184E-4,1.3707706015398324E-4,-0.17728020167044545,0,0,,0,0,,0.0,0.0,0.0,false,false,true
33832,7698608,1543552,11296,31011,44362.647713,6497.927547,799419.11,1865846.35,0.0014672782404299583,0.020090673977941786,12.692477285054396,18.020094634,287.144837566,14.934701976,70.770105347,60.167242269,-0.149821214,0.0,0.0,0.0,false,false,true
40040,31071,5254,0,0,289.038086,46.935142,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
36091,1044720,142604,138,99,9946.36418,1313.072724,93264.3,63230.39,1.3209280955662762E-4,6.942301758716445E-4,4.255624270555249,9.376722822,48.154522476,4.135538651,675.82826087,638.690808081,-0.054951021,0.0,0.0,0.0,false,false,true
45826,123695,54587,5,1,1168.377804,486.342617,0,0,4.042200573992481E-5,1.831938007217836E-5,-0.5467968563943795,0,0,,0,0,,0.0,0.0,0.0,false,false,true
35353,1767421,432401,47,9,16814.920301,3965.931847,0,0,2.6592419123683604E-5,2.081401291856402E-5,-0.21729524411614176,0,0,,0,0,,0.0,0.0,0.0,false,false,true
40593,212730,46853,28,15,2010.161572,426.777894,91853.09,57653.51,1.3162224415926292E-4,3.201502571873733E-4,1.4323415789810685,45.694381626,135.090197526,1.956385287,3280.4675,3843.567333333,0.171652313,0.0,0.0,0.0,false,false,true
42088,38889,7229,0,0,273.720335,38.13771,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
37545,331758,103657,49,77,3123.636969,941.550594,14462.91,17202.72,1.4769802084652064E-4,7.42834540841429E-4,4.029414318376955,4.630150732,18.270627314,2.946011344,295.161428571,223.411948052,-0.243085558,0.0,0.0,0.0,false,false,true
43979,28958,5256,0,0,267.581494,47.021363,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39892,290529,86456,0,0,2080.176268,469.410657,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
46560,75143,32377,6,5,708.435734,295.848461,0,0,7.984775694342787E-5,1.5443061432498378E-4,0.9340632753703759,0,0,,0,0,,0.0,0.0,0.0,false,false,true
45261,27055,22605,0,0,247.602728,200.145647,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
43483,73810,12296,3,0,716.636588,116.410277,0,0,4.064489906516732E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
43486,251080,1215566,229,999,2389.371915,11259.194331,216570.21,480535.45,9.120599012267007E-4,8.218393735922195E-4,-0.09891951999329929,90.638970284,42.679381479,-0.529127688,945.721441048,481.016466466,-0.491376165,0.0,0.0,0.0,false,false,true
39991,37573,13980,0,0,266.71599,75.607244,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39288,47655,327899,0,0,330.85108,2271.128836,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
47124,18340,8893,1,0,170.659526,83.216683,0,0,5.452562704471101E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
39743,4335880,9283117,330,775,39819.251053,80011.087763,37522.7,200073,7.610911741099846E-5,8.348488982741465E-5,0.09691049728754741,0.942325609,2.500565929,1.653611347,113.705151515,258.158709677,1.270422283,0.0,0.0,0.0,false,false,true
37251,1004161,78319,156,55,9227.752551,707.545725,13371.2,129539.4,1.5535357377950348E-4,7.02256157509672E-4,3.5203733678273705,1.449020217,183.082725855,125.349324673,85.712820513,2355.261818182,26.478524264,0.0,0.0,0.0,false,false,true
40867,1388657,671088,90,39,13010.019699,6043.16189,0,0,6.481082081464321E-5,5.8114584078392104E-5,-0.10331973352724722,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38385,262650,31184,5,0,2530.874565,286.003781,0,0,1.9036740909956216E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
37550,6053362,772724,4494,1256,54602.567866,7442.222326,0,0,7.423973652988207E-4,0.0016254186488319244,1.1894186655386103,0,0,,0,0,,0.0,0.0,0.0,false,false,true
44724,259941,38804,2,0,2411.237002,354.416229,0,0,7.694053650636106E-6,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
38420,316119,49593,18,1,2863.218645,463.379554,0,0,5.6940582502158996E-5,2.0164136067590184E-5,-0.6458740816916366,0,0,,0,0,,0.0,0.0,0.0,false,false,true
45184,30115,12623,0,0,291.021136,112.43554,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40926,318326,166975,4,3,1858.690773,832.143054,0,0,1.2565734498595779E-5,1.7966761491241205E-5,0.4298218296152121,0,0,,0,0,,0.0,0.0,0.0,false,false,true
44769,122141,31058,52,18,1161.911405,276.187288,38108.98,13107.12,4.257374673533048E-4,5.795608216884538E-4,0.36131035234325837,32.798524772,47.457361615,0.446935859,732.865,728.173333333,-0.006401816,0.0,0.0,0.0,false,false,true
47220,35440,256192,0,0,344.419304,2364.822922,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
35255,718027,118296,2423,214,6557.076781,1061.068953,15323.61,3756.44,0.0033745249134085487,0.0018090214377493744,-0.4639181857685225,2.336957536,3.540241178,0.514893242,6.324230293,17.553457944,1.775588037,0.0,0.0,0.0,false,false,true
39781,437456,75093,5,1,3265.56165,649.441194,0,0,1.1429720931933726E-5,1.3316820475943164E-5,0.16510460362483848,0,0,,0,0,,0.0,0.0,0.0,false,false,true
35724,1333210,206108,3228,1757,12963.405319,1894.179826,30366.21,21322.92,0.0024212239632165973,0.008524656975954354,2.520804810071904,2.342456265,11.257072696,3.805670383,9.407128253,12.135981787,0.29008359,0.0,0.0,0.0,false,false,true
38948,139870,46084,0,0,1270.974252,433.604515,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
37701,357109,41066,0,0,3440.151635,384.194516,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40843,864082,158878,244,320,8636.24901,1459.856174,18712.3,22058.72,2.823806073960573E-4,0.0020141240448646133,6.132657102191413,2.166716126,15.110200849,5.97377966,76.689754098,68.9335,-0.101138075,0.0,0.0,0.0,false,false,true
43455,60716,71864,27,49,598.115675,637.33828,2573.14,2806.15,4.4469332630608075E-4,6.818434821329177E-4,0.5332892170808234,4.30207752,4.402920848,0.023440612,95.301481481,57.268367347,-0.399082087,0.0,0.0,0.0,false,false,true
33126,3304189,177176,2882,965,23114.846519,931.501529,367230.81,93074.59,8.722261347640828E-4,0.005446561611053416,5.244437530556897,15.887226839,99.918880541,5.289258758,127.422210271,96.450352332,-0.24306483,0.0,0.0,0.0,false,false,true
46429,55404,25214,1,0,524.683448,235.313616,0,0,1.8049238322142805E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
39989,13286,5253,0,0,124.450687,46.813665,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
35514,1146394,139330,537,27,7906.054539,774.19954,0,0,4.6842534067694E-4,1.9378454030000717E-4,-0.586306453831124,0,0,,0,0,,0.0,0.0,0.0,false,false,true
38401,6244,19582,7,126,61.2112,184.217771,0,0,0.0011210762331838565,0.0064344806454907566,4.739556735777755,0,0,,0,0,,0.0,0.0,0.0,false,false,true
47134,3906,41739,0,0,35.167443,375.343161,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39036,15094,4778954,52,0,140.154858,42287.145502,0,0,0.0034450775142440705,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
36512,585441,114701,32,55,5279.364101,1041.479449,0,0,5.465964973413205E-5,4.795075892973906E-4,7.7726063308079265,0,0,,0,0,,0.0,0.0,0.0,false,false,true
45959,494456,217359,41,63,3321.880597,2068.915812,17410.97,31299.9,8.291941042276765E-5,2.898430706803031E-4,2.4954791550317057,5.241299165,15.128648454,1.886431012,424.657804878,496.823809524,0.169939193,0.0,0.0,0.0,false,false,true
38831,1698239,1609268,31,18,15547.583366,14647.077179,0,0,1.8254203324738155E-5,1.1185209672969325E-5,-0.38725292613504014,0,0,,0,0,,0.0,0.0,0.0,false,false,true
36425,3634805,1934117,35725,17511,26388.859241,12851.775475,0,0,0.009828587778436532,0.00905374390484133,-0.07883572808854333,0,0,,0,0,,0.0,0.0,0.0,false,false,true
41119,49839,121980,53,371,495.484597,1112.754898,4955.5,32122.38,0.001063424226007745,0.0030414822101983933,1.8600836202656175,10.00131998,28.86743528,1.886362534,93.5,86.583234501,-0.073976102,0.0,0.0,0.0,false,false,true
43096,1439907,320061,57,20,13525.531275,2719.955183,0,0,3.958588992205747E-5,6.248808820818532E-5,0.5785444846944472,0,0,,0,0,,0.0,0.0,0.0,false,false,true
43953,1690232,568656,692,812,11598.380798,2819.720772,351811,313176.6,4.094112524197862E-4,0.0014279283081511493,2.487760289223892,30.332768524,111.066529392,2.661602115,508.397398844,385.68546798,-0.2413701,0.0,0.0,0.0,false,false,true
44720,1907427,471749,222,52,13779.43552,4299.96628,0,0,1.1638715400379674E-4,1.1022810859164513E-4,-0.052918601411550026,0,0,,0,0,,0.0,0.0,0.0,false,false,true
